ENTITY_ID;OPERATING_COMPANY;ADDRESS;ZIP_CODE;CITY;LONGITUDE;LATITUDE;START_UP_DATE;LOADER_TYPE;NUMBER_OF_CHARGING_POINTS;CONNECTION_POWER_KW;PLUG_TYPES_1;POWER_1_KW;PLUG_TYPES_2;POWER_2_KW;PLUG_TYPES_3;POWER_3_KW;PLUG_TYPES_4;POWER_4_KW
1002;Volkswagen Sachsen GmbH, Die Gläserne Manufaktur;Lennéstraße 1;1069;Dresden;13.75427;51.04368;01.10.16;Schnellladeeinrichtung;2;93.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;43.0;;0.0;;0.0
1003;DREWAG Stadtwerke Dresden GmbH;Antonstraße 24;1097;Dresden;13.739641;51.064823;04.09.17;Schnellladeeinrichtung;2;93.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2, AC Schuko;43.0;;0.0;;0.0
1004;DREWAG Stadtwerke Dresden GmbH;Wigardstraße 2;1097;Dresden;13.4964;51.57566;22.10.18;Normalladeeinrichtung;4;51.4;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1005;Simmel AG;Antonstraße 2A;1097;Dresden;13.7464616;51.0640713;15.12.17;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1006;DREWAG Stadtwerke Dresden GmbH;Scharfenberger Straße 66;1139;Dresden;13.688326;51.072415;22.10.18;Normalladeeinrichtung;4;51.4;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1007;innogy SE;Rudolf-Walther-Straße 2;1156;Dresden;13.636646;51.037086;11.10.12;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1008;DREWAG Stadtwerke Dresden GmbH;Gompitzer Höhe 2;1156;Dresden;13.631414;51.040065;25.06.18;Schnellladeeinrichtung;2;72.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;22.0;;0.0;;0.0
1009;DREWAG Stadtwerke Dresden GmbH;Fabrikstraße 5;1159;Dresden;13.709192;51.041247;22.10.18;Normalladeeinrichtung;4;51.4;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1010;DREWAG Stadtwerke Dresden GmbH;Löbtauer Straße 21;1159;Dresden;13.71865;51.052879;22.10.18;Normalladeeinrichtung;4;51.4;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1011;DREWAG Stadtwerke Dresden GmbH;Bayrische Straße 0;1169;Dresden;13.732656;51.039073;26.09.18;Schnellladeeinrichtung;2;72.0;AC Steckdose Typ 2;22.0;DC Kupplung Combo, DC CHAdeMO;50.0;;0.0;;0.0
1012;DREWAG Stadtwerke Dresden GmbH;Dohnaer Str.;1219;Dresden;13.773643;51.013771;02.12.18;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1013;DREWAG Stadtwerke Dresden GmbH;Fiedlerstraße 21a;1307;Dresden;13.781678;51.054563;22.10.18;Normalladeeinrichtung;4;88.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0
1014;DREWAG Stadtwerke Dresden GmbH;Berthold-Brecht-Allee 22;1309;Dresden;13.780581;51.041015;22.10.18;Normalladeeinrichtung;4;51.4;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1015;APCOA PARKING Deutschland GmbH;Hüblerstr.8;1309;Dresden;13.8047302;51.0517908;01.12.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1016;DREWAG Stadtwerke Dresden GmbH;Leonardo-da-Vinci-Straße 0A;1326;Dresden;13.864731;51.013049;28.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2, AC Schuko;11.0;AC Steckdose Typ 2, AC Schuko;11.0;;0.0;;0.0
1017;ENSO Energie Sachsen Ost AG;Sidonienstraße 1c;1445;Radebeul;13.679916;51.098846;22.10.18;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1018;ENSO Energie Sachsen Ost AG;Schlossallee 2;1468;Moritzburg;13.678783;51.164053;22.10.18;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1019;ENSO Energie Sachsen Ost AG;Schillerstraße 37;1558;Großenhain;13.53385;51.294624;19.09.18;Schnellladeeinrichtung;2;75.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;22.0;;0.0;;0.0
1020;Danpower-Gruppe;Am Bobersberg;1558;Großenhain;13.5400663;51.28819912;25.08.17;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1021;ENSO Energie Sachsen Ost AG;Am Fiebig 3;1561;Thiendorf;13.732736;51.039026;17.10.16;Schnellladeeinrichtung;2;108.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;43.0;;0.0;;0.0
1022;Stadtwerke Riesa GmbH;Alleestraße 81 y;1591;Riesa;13.262848;51.320246;01.12.18;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1023;ENSO Energie Sachsen Ost AG;Moritzburger Straße 2;1640;Coswig;13.581259;51.129769;22.10.18;Normalladeeinrichtung;3;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1024;innogy SE;Niederauer Str. 44;1662;Meißen;13.500904;51.167403;26.07.11;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1025;Allego GmbH;Im Industriegebiet 1;1683;Nossen;13.274002;51.082727;07.04.17;Schnellladeeinrichtung;2;75.0;DC Kupplung Combo;53.0;AC Kupplung Typ 2;22.0;;0.0;;0.0
1026;Allego GmbH;Im Industriegebiet 1;1683;Nossen;13.274002;51.082727;07.04.17;Schnellladeeinrichtung;2;75.0;DC Kupplung Combo;53.0;AC Kupplung Typ 2;22.0;;0.0;;0.0
1027;Allego GmbH;Im Industriegebiet 1;1683;Nossen;13.274002;51.082727;07.04.17;Schnellladeeinrichtung;2;93.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;43.0;;0.0;;0.0
1028;Autobahn Tank & Rast GmbH;Dresdner Tor Nord;1723;Wilsdruff;13.56221;51.06322;13.07.17;Schnellladeeinrichtung;2;250.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;42.0;;0.0;;0.0
1029;Autobahn Tank & Rast GmbH;Dresdner Tor Süd;1723;Wilsdruff;13.56956;51.06118;04.08.17;Schnellladeeinrichtung;2;250.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;42.0;;0.0;;0.0
1030;ENSO Energie Sachsen Ost AG;Dresdner Straße 26;1737;Tharandt;13.588637;50.98294;22.10.18;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1031;ENSO Energie Sachsen Ost AG;Dresdner Str. 17;1773;Altenberg;13.755286;50.764811;19.05.16;Normalladeeinrichtung;3;43.6;DC Kupplung Combo, DC CHAdeMO;20.0;AC Steckdose Typ 2;20.0;AC Schuko;3.7;;0.0
1032;ENSO Energie Sachsen Ost AG;Dresdner Straße 17;1773;Altenberg;13.755286;50.764811;22.10.18;Normalladeeinrichtung;3;50.0;DC Kupplung Combo, DC CHAdeMO;20.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;;0.0
1033;Energieversorgung Pirna GmbH;Obere Burgstraße 6b;1796;Pirna;13.944001;50.961326;22.10.18;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1034;ENSO Energie Sachsen Ost AG;Am Markt 2;1809;Dohna;13.857779;50.955056;08.12.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1035;ENSO Energie Sachsen Ost AG;Dresdner Str. 3;1814;Bad;14.149496;50.918421;06.04.16;Normalladeeinrichtung;3;43.6;DC Kupplung Combo, DC CHAdeMO;20.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;;0.0
1036;ENSO Energie Sachsen Ost AG;Dresdner Straße 3;1814;Bad;14.149507;50.918452;22.10.18;Normalladeeinrichtung;2;44.0;DC Kupplung Combo, DC CHAdeMO;20.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;;0.0
1037;ENSO Energie Sachsen Ost AG;Elbweg 13;1824;Kurort;14.079159;50.956012;22.10.18;Normalladeeinrichtung;4;44.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1038;ENSO Energie Sachsen Ost AG;Elbufer 5;1829;Stadt;14.032453;50.956385;29.11.18;Normalladeeinrichtung;4;33.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
